exporter,sitc,rca
JPN,7441,0.3033685053813103
JPN,7442,0.22723771007838994
JPN,7451,0.2878153169445803
JPN,7491,0.561597176424306
JPN,7492,0.15811359351795956
JPN,7493,0.43770498285510473
JPN,7499,0.40041764728473866
JPN,7511,0.028025763055827952
JPN,7518,0.10910647633174389
JPN,7591,0.5140376183957688
JPN,7621,0.003195047762509535
JPN,7638,0.5570201599534433
JPN,7648,0.3969238022528215
JPN,7649,0.10510846343561352
JPN,7712,0.22957871986611875
JPN,7721,0.35866941474800307
JPN,7722,0.363134888925171
JPN,7723,0.5839299658599648
JPN,7732,0.42688904772104114
JPN,7741,0.4017981537295232
JPN,7742,0.3754082074370876
JPN,7762,0.6007306892760733
JPN,7763,0.44655317642583126
JPN,7764,0.2705458634937436
JPN,7768,0.6128563317652826
JPN,7781,0.4503576921454989
JPN,7782,0.07795739704615332
JPN,7783,0.49782311184501643
JPN,7788,0.5125733939667079
JPN,7810,0.5257532838474672
JPN,7821,0.2842352356056807
JPN,7831,0.6168158790541356
JPN,7841,0.49990108402032557
JPN,7842,0.037651627878076625
JPN,7849,0.4164481629575202
JPN,7851,0.6027449846060886
JPN,7853,0.4003415710187356
JPN,7929,0.15162135994166748
JPN,7932,0.5371107886480269
JPN,7933,0.7494646451801001
JPN,8710,0.5632146169410168
JPN,8732,0.06810788149748213
JPN,8742,0.4356196589025077
JPN,8743,0.3704554389971387
JPN,8744,0.5135685680830777
JPN,8745,0.050280285622518024
JPN,8748,0.43995512564647776
JPN,8749,0.4064565466530719
JPN,8811,0.39207628639797343
JPN,8813,0.7072916631596866
JPN,8821,0.8197413041854251
JPN,8822,0.6275469519590154
JPN,8841,0.6438831960342166
JPN,8851,0.09229378928383418
JPN,8852,0.32113907391293006
JPN,8924,0.3475700086738989
JPN,8928,0.19083421175833273
JPN,8952,0.49818645328466454
JPN,8959,0.431705261756293
JPN,8974,0.2092436894867511
JPN,8981,0.5732640186830239
JPN,8982,0.2904070747238916
JPN,8989,0.42657297778538605
JPN,8998,0.26884048305912017
MWI,0440,0.34172945812914113
MWI,0459,0.2372982412282276
MWI,0542,0.9591152258203898
MWI,0564,0.3136776643513502
MWI,0577,0.8423749773896904
MWI,0611,0.9666777136255195
MWI,0612,0.4544781487170911
MWI,0711,0.43987408799637717
MWI,0721,0.7628217160806583
MWI,0741,0.9877174460995652
MWI,0751,0.8253817419461319
MWI,0812,0.9216236861290497
MWI,0813,0.11231870899937552
MWI,1211,0.9890482512941894
MWI,1212,0.9970183991379239
MWI,1213,0.9968898110210731
MWI,1223,0.39342124421757957
MWI,2111,0.0496974186617848
MWI,2112,0.45915571768299507
MWI,2119,0.8415769135593401
MWI,2221,0.9866437193889532
MWI,2222,0.030380571979450696
MWI,2223,0.8874285081703673
MWI,2224,0.2749285667549419
MWI,2239,0.33467851605751076
MWI,2320,0.6067228064354682
MWI,2481,0.2855781772283055
MWI,2483,0.6644511731692408
MWI,2631,0.9253928078517841
MWI,2632,0.8664597814803978
MWI,2634,0.9301338482763368
MWI,2860,0.018235864631202692
MWI,2924,0.16622114326993764
MWI,3224,0.17341497411298054
MWI,3415,0.9684708141232817
MWI,4233,0.6573575720678683
MWI,5241,0.9755348631235704
MWI,5541,0.4856969597344437
MWI,6116,0.11674274012548987
MWI,6344,0.5824108480037832
MWI,6349,0.3683550337991714
MWI,6416,0.40737275361219427
MWI,6421,0.06631674089831002
MWI,6545,0.41416832084756977
MWI,6581,0.321781127649281
MWI,6611,0.1594104179101439
MWI,6760,0.39587951098626717
MWI,6951,0.19567321223178327
MWI,6992,0.09384754146966856
MWI,7251,0.48012826700497074
MWI,8451,0.20525580321514164
MWI,8830,0.7204054061853163
MWI,8931,0.35994467616336284
MWI,8946,0.7583548946564014
MWI,9510,0.8410356560026764
THA,0129,0.44310874870100686
THA,0141,0.6762150065762239
THA,0149,0.8179467188701836
THA,0342,0.006223111395462022
THA,0350,0.1651815197134514
